Run,Model,Attack Intensity,Accuracy,Confidence
0,UU,0.0,0.8999999761581421,7.137126445770264
0,UU,0.1,0.019999999552965164,6.075930118560791
0,UU,0.25,0.0,5.192088603973389
0,UU,0.5,0.0,6.986209392547607
0,UU,1.0,0.0,8.088959693908691
0,UU,2.0,0.0,6.066625118255615
0,UU,4.0,0.0,5.589048862457275
0,UU,8.0,0.0,5.142664909362793
0,UA,0.0,0.6399999856948853,2.6310455799102783
0,UA,0.1,0.07999999821186066,2.790113687515259
0,UA,0.25,0.05999999865889549,2.704777240753174
0,UA,0.5,0.05999999865889549,1.5379244089126587
0,UA,1.0,0.04999999701976776,0.9424993395805359
0,UA,2.0,0.04999999701976776,1.2291069030761719
0,UA,4.0,0.05999999865889549,1.3609730005264282
0,UA,8.0,0.05999999865889549,1.2420191764831543
0,UN,0.0,0.5600000023841858,4.15371561050415
0,UN,0.1,0.019999999552965164,6.05669641494751
0,UN,0.25,0.0,5.302037239074707
0,UN,0.5,0.0,7.073761463165283
0,UN,1.0,0.0,7.741772174835205
0,UN,2.0,0.0,6.062819480895996
0,UN,4.0,0.0,5.445027828216553
0,UN,8.0,0.0,4.661675453186035
0,AU,0.0,0.7899999618530273,3.565692901611328
0,AU,0.1,0.009999999776482582,4.210069179534912
0,AU,0.25,0.0,4.615122318267822
0,AU,0.5,0.0,3.4856207370758057
0,AU,1.0,0.0,2.6774086952209473
0,AU,2.0,0.0,1.8841387033462524
0,AU,4.0,0.0,1.8526962995529175
0,AU,8.0,0.0,1.4489517211914062
0,AA,0.0,0.7400000095367432,2.2194876670837402
0,AA,0.1,0.09999999403953552,2.0972161293029785
0,AA,0.25,0.09999999403953552,2.0237371921539307
0,AA,0.5,0.07999999821186066,1.2999709844589233
0,AA,1.0,0.07000000029802322,1.0605297088623047
0,AA,2.0,0.03999999910593033,0.5907660722732544
0,AA,4.0,0.08999999612569809,0.535576581954956
0,AA,8.0,0.04999999701976776,0.4134320616722107
0,AN,0.0,0.6800000071525574,2.922138214111328
0,AN,0.1,0.019999999552965164,3.9057488441467285
0,AN,0.25,0.0,4.146227836608887
0,AN,0.5,0.0,3.351470947265625
0,AN,1.0,0.009999999776482582,2.500854015350342
0,AN,2.0,0.0,1.7994259595870972
0,AN,4.0,0.0,1.51096773147583
0,AN,8.0,0.0,1.4144753217697144
1,UU,0.0,0.8399999737739563,6.500550270080566
1,UU,0.1,0.019999999552965164,6.129260063171387
1,UU,0.25,0.0,5.403156757354736
1,UU,0.5,0.0,7.622034549713135
1,UU,1.0,0.0,8.500755310058594
1,UU,2.0,0.0,6.19082498550415
1,UU,4.0,0.0,5.709327220916748
1,UU,8.0,0.0,5.047018527984619
1,UA,0.0,0.6399999856948853,2.8040578365325928
1,UA,0.1,0.14000000059604645,2.8840935230255127
1,UA,0.25,0.11999999731779099,3.3151490688323975
1,UA,0.5,0.10999999940395355,1.5516510009765625
1,UA,1.0,0.10999999940395355,0.8688956499099731
1,UA,2.0,0.09999999403953552,1.349539875984192
1,UA,4.0,0.05999999865889549,1.4201747179031372
1,UA,8.0,0.05999999865889549,1.3850420713424683
1,UN,0.0,0.5899999737739563,4.366067409515381
1,UN,0.1,0.04999999701976776,5.786259651184082
1,UN,0.25,0.0,4.6206159591674805
1,UN,0.5,0.0,7.3617377281188965
1,UN,1.0,0.0,7.624632835388184
1,UN,2.0,0.0,6.123762130737305
1,UN,4.0,0.0,5.298396110534668
1,UN,8.0,0.0,5.162783622741699
1,AU,0.0,0.6899999976158142,2.829214096069336
1,AU,0.1,0.0,3.59916615486145
1,AU,0.25,0.0,4.5511155128479
1,AU,0.5,0.0,3.5073230266571045
1,AU,1.0,0.009999999776482582,2.584083080291748
1,AU,2.0,0.0,1.7663358449935913
1,AU,4.0,0.0,1.2656925916671753
1,AU,8.0,0.0,1.315969467163086
1,AA,0.0,0.6499999761581421,2.0631649494171143
1,AA,0.1,0.14000000059604645,1.7758212089538574
1,AA,0.25,0.07000000029802322,1.978312373161316
1,AA,0.5,0.07000000029802322,1.2746844291687012
1,AA,1.0,0.05999999865889549,0.8754786252975464
1,AA,2.0,0.029999999329447746,0.6764804124832153
1,AA,4.0,0.029999999329447746,0.560969889163971
1,AA,8.0,0.03999999910593033,0.5396751165390015
1,AN,0.0,0.5999999642372131,2.5805583000183105
1,AN,0.1,0.009999999776482582,3.2407824993133545
1,AN,0.25,0.009999999776482582,4.393375873565674
1,AN,0.5,0.0,3.497051954269409
1,AN,1.0,0.0,2.55484676361084
1,AN,2.0,0.0,1.755410075187683
1,AN,4.0,0.0,1.5547986030578613
1,AN,8.0,0.0,1.250008463859558
2,UU,0.0,0.9099999666213989,7.441319465637207
2,UU,0.1,0.029999999329447746,6.603838920593262
2,UU,0.25,0.0,4.76424503326416
2,UU,0.5,0.0,7.32877779006958
2,UU,1.0,0.0,7.490330696105957
2,UU,2.0,0.0,6.446695327758789
2,UU,4.0,0.0,5.525318622589111
2,UU,8.0,0.0,4.936795711517334
2,UA,0.0,0.6599999666213989,2.7748444080352783
2,UA,0.1,0.11999999731779099,2.983266592025757
2,UA,0.25,0.07999999821186066,3.486833333969116
2,UA,0.5,0.07999999821186066,1.6491525173187256
2,UA,1.0,0.07000000029802322,0.9615040421485901
2,UA,2.0,0.05999999865889549,1.3859899044036865
