Run,Model,Attack Intensity,Accuracy,Confidence
0,UU,0.0,0.8899999856948853,7.678942680358887
0,UU,0.1,0.0,18.578874588012695
0,UU,0.25,0.0,18.045509338378906
0,UU,0.5,0.0,18.007474899291992
0,UU,1.0,0.0,19.845111846923828
0,UU,2.0,0.0,18.20974349975586
0,UU,4.0,0.0,15.4159517288208
0,UU,8.0,0.0,19.576705932617188
0,UA,0.0,0.6499999761581421,2.9376819133758545
0,UA,0.1,0.14000000059604645,2.401306629180908
0,UA,0.25,0.1599999964237213,2.485095739364624
0,UA,0.5,0.14999999105930328,2.8002471923828125
0,UA,1.0,0.07000000029802322,2.3750481605529785
0,UA,2.0,0.12999999523162842,2.3899295330047607
0,UA,4.0,0.09999999403953552,2.5422770977020264
0,UA,8.0,0.11999999731779099,2.5176150798797607
0,UN,0.0,0.6299999952316284,4.930866718292236
0,UN,0.1,0.019999999552965164,8.230069160461426
0,UN,0.25,0.009999999776482582,7.928055286407471
0,UN,0.5,0.009999999776482582,7.765154838562012
0,UN,1.0,0.009999999776482582,8.372726440429688
0,UN,2.0,0.019999999552965164,7.71035623550415
0,UN,4.0,0.019999999552965164,8.012770652770996
0,UN,8.0,0.029999999329447746,7.671558856964111
0,AU,0.0,0.7999999523162842,3.366109609603882
0,AU,0.1,0.0,11.187255859375
0,AU,0.25,0.0,11.601865768432617
0,AU,0.5,0.0,11.968798637390137
0,AU,1.0,0.0,10.032703399658203
0,AU,2.0,0.0,12.31606388092041
0,AU,4.0,0.0,11.092110633850098
0,AU,8.0,0.0,12.036107063293457
0,AA,0.0,0.7199999690055847,2.1283340454101562
0,AA,0.1,0.009999999776482582,4.266214370727539
0,AA,0.25,0.009999999776482582,4.353078365325928
0,AA,0.5,0.009999999776482582,4.297839164733887
0,AA,1.0,0.009999999776482582,4.301011085510254
0,AA,2.0,0.009999999776482582,4.6500444412231445
0,AA,4.0,0.009999999776482582,4.374809265136719
0,AA,8.0,0.009999999776482582,4.442409038543701
0,AN,0.0,0.699999988079071,2.7127716541290283
0,AN,0.1,0.0,7.720609188079834
0,AN,0.25,0.0,9.67329216003418
0,AN,0.5,0.0,8.228595733642578
0,AN,1.0,0.0,7.795342445373535
0,AN,2.0,0.0,8.157598495483398
0,AN,4.0,0.0,8.76669692993164
0,AN,8.0,0.0,8.551284790039062
1,UU,0.0,0.8999999761581421,7.164046287536621
1,UU,0.1,0.0,18.14889144897461
1,UU,0.25,0.0,18.552995681762695
1,UU,0.5,0.0,16.416418075561523
1,UU,1.0,0.0,19.788843154907227
1,UU,2.0,0.0,16.785255432128906
1,UU,4.0,0.0,17.609378814697266
1,UU,8.0,0.0,19.52560806274414
1,UA,0.0,0.7400000095367432,2.715491771697998
1,UA,0.1,0.14999999105930328,2.694429874420166
1,UA,0.25,0.19999998807907104,2.7079386711120605
1,UA,0.5,0.1599999964237213,2.8396518230438232
1,UA,1.0,0.12999999523162842,2.8173162937164307
1,UA,2.0,0.1599999964237213,2.60011625289917
1,UA,4.0,0.12999999523162842,2.588186025619507
1,UA,8.0,0.12999999523162842,2.714125871658325
1,UN,0.0,0.6699999570846558,4.883216381072998
1,UN,0.1,0.05999999865889549,7.007848739624023
1,UN,0.25,0.009999999776482582,7.249825477600098
1,UN,0.5,0.029999999329447746,7.152619361877441
1,UN,1.0,0.029999999329447746,7.381601333618164
1,UN,2.0,0.019999999552965164,7.507344722747803
1,UN,4.0,0.029999999329447746,7.401133060455322
1,UN,8.0,0.009999999776482582,7.433497905731201
1,AU,0.0,0.7400000095367432,3.458630323410034
1,AU,0.1,0.0,10.130023002624512
1,AU,0.25,0.0,10.680922508239746
1,AU,0.5,0.0,10.53477668762207
1,AU,1.0,0.0,10.736886978149414
1,AU,2.0,0.0,8.967734336853027
1,AU,4.0,0.0,10.59572696685791
1,AU,8.0,0.0,10.855927467346191
