Run,Model,Attack Intensity,Accuracy,Confidence
0,UU,0.0,0.8999999761581421,7.527211666107178
0,UU,0.1,0.429999977350235,27.26827621459961
0,UU,0.25,0.4399999976158142,26.939775466918945
0,UU,0.5,0.3999999761581421,27.721088409423828
0,UU,1.0,0.41999998688697815,27.02357292175293
0,UU,2.0,0.41999998688697815,26.944271087646484
0,UU,4.0,0.3499999940395355,26.89914894104004
0,UU,8.0,0.429999977350235,26.562692642211914
0,UA,0.0,0.6800000071525574,2.9382410049438477
0,UA,0.1,0.5299999713897705,2.907254934310913
0,UA,0.25,0.4699999988079071,2.594322443008423
0,UA,0.5,0.5099999904632568,2.762047290802002
0,UA,1.0,0.5299999713897705,2.5401864051818848
0,UA,2.0,0.5399999618530273,2.7459521293640137
0,UA,4.0,0.44999998807907104,2.5697038173675537
0,UA,8.0,0.5199999809265137,2.397306442260742
0,UN,0.0,0.6899999976158142,4.274631977081299
0,UN,0.1,0.4399999976158142,12.967924118041992
0,UN,0.25,0.4899999797344208,14.100797653198242
0,UN,0.5,0.29999998211860657,13.001665115356445
0,UN,1.0,0.4899999797344208,13.717333793640137
0,UN,2.0,0.3799999952316284,13.228507041931152
0,UN,4.0,0.3999999761581421,13.552644729614258
0,UN,8.0,0.3799999952316284,13.725662231445312
0,AU,0.0,0.8199999928474426,3.7179479598999023
0,AU,0.1,0.38999998569488525,16.90550422668457
0,AU,0.25,0.4099999964237213,17.672496795654297
0,AU,0.5,0.3199999928474426,17.46234130859375
0,AU,1.0,0.38999998569488525,17.981630325317383
0,AU,2.0,0.3199999928474426,17.76078987121582
0,AU,4.0,0.25,17.58780288696289
0,AU,8.0,0.38999998569488525,17.501041412353516
0,AA,0.0,0.7400000095367432,2.405574083328247
0,AA,0.1,0.3799999952316284,4.51806640625
0,AA,0.25,0.35999998450279236,4.428008556365967
0,AA,0.5,0.429999977350235,4.389814853668213
0,AA,1.0,0.3999999761581421,4.273549556732178
0,AA,2.0,0.4099999964237213,4.46301794052124
0,AA,4.0,0.44999998807907104,5.060108661651611
0,AA,8.0,0.3100000023841858,4.23512601852417
0,AN,0.0,0.6899999976158142,2.9788670539855957
0,AN,0.1,0.3700000047683716,14.189977645874023
0,AN,0.25,0.3799999952316284,13.76213550567627
0,AN,0.5,0.47999998927116394,14.375096321105957
0,AN,1.0,0.3199999928474426,14.087289810180664
0,AN,2.0,0.35999998450279236,13.923205375671387
0,AN,4.0,0.3100000023841858,13.829330444335938
0,AN,8.0,0.3100000023841858,13.78344440460205
1,UU,0.0,0.949999988079071,7.456439018249512
1,UU,0.1,0.4399999976158142,26.201961517333984
1,UU,0.25,0.3400000035762787,26.5598087310791
1,UU,0.5,0.5199999809265137,27.42439079284668
1,UU,1.0,0.429999977350235,26.61874008178711
1,UU,2.0,0.3999999761581421,27.243358612060547
1,UU,4.0,0.4899999797344208,26.73114776611328
1,UU,8.0,0.4099999964237213,27.91824722290039
1,UA,0.0,0.6599999666213989,2.6810121536254883
1,UA,0.1,0.3999999761581421,2.7091991901397705
1,UA,0.25,0.5399999618530273,2.2717394828796387
1,UA,0.5,0.3999999761581421,2.445183515548706
1,UA,1.0,0.38999998569488525,2.777313232421875
1,UA,2.0,0.429999977350235,2.4988458156585693
1,UA,4.0,0.4599999785423279,2.3886947631835938
1,UA,8.0,0.5699999928474426,2.6636078357696533
1,UN,0.0,0.699999988079071,4.562445640563965
1,UN,0.1,0.4399999976158142,13.004292488098145
1,UN,0.25,0.4399999976158142,13.613747596740723
1,UN,0.5,0.4099999964237213,13.296561241149902
1,UN,1.0,0.3799999952316284,12.74381160736084
1,UN,2.0,0.3999999761581421,12.554608345031738
1,UN,4.0,0.4399999976158142,12.347973823547363
1,UN,8.0,0.3499999940395355,13.014688491821289
1,AU,0.0,0.8299999833106995,3.228257894515991
1,AU,0.1,0.41999998688697815,17.460590362548828
1,AU,0.25,0.35999998450279236,18.230979919433594
1,AU,0.5,0.3999999761581421,17.547489166259766
1,AU,1.0,0.3799999952316284,18.00224494934082
1,AU,2.0,0.4099999964237213,18.402482986450195
1,AU,4.0,0.41999998688697815,18.408512115478516
1,AU,8.0,0.3799999952316284,18.0345516204834
1,AA,0.0,0.7799999713897705,2.136418342590332
1,AA,0.1,0.29999998211860657,4.389181613922119
1,AA,0.25,0.44999998807907104,4.79193639755249
1,AA,0.5,0.3499999940395355,4.375914573669434
1,AA,1.0,0.4699999988079071,4.6409125328063965
1,AA,2.0,0.5299999713897705,4.633732795715332
1,AA,4.0,0.4599999785423279,4.815344333648682
1,AA,8.0,0.4599999785423279,5.007316589355469
1,AN,0.0,0.7400000095367432,2.4951112270355225
1,AN,0.1,0.3999999761581421,13.745071411132812
1,AN,0.25,0.3799999952316284,14.214709281921387
1,AN,0.5,0.3999999761581421,13.952110290527344
1,AN,1.0,0.32999998331069946,14.15421199798584
1,AN,2.0,0.32999998331069946,14.363240242004395
1,AN,4.0,0.3999999761581421,14.120450973510742
1,AN,8.0,0.3999999761581421,13.933820724487305
2,UU,0.0,0.8799999952316284,6.807368755340576
2,UU,0.1,0.4399999976158142,25.657421112060547
2,UU,0.25,0.5199999809265137,27.02619743347168
2,UU,0.5,0.4599999785423279,26.70475959777832
2,UU,1.0,0.3700000047683716,26.338090896606445
2,UU,2.0,0.44999998807907104,26.764326095581055
2,UU,4.0,0.3700000047683716,26.01520538330078
2,UU,8.0,0.5,26.558378219604492
2,UA,0.0,0.6499999761581421,2.6283411979675293
2,UA,0.1,0.4899999797344208,2.8982560634613037
2,UA,0.25,0.5,2.8176889419555664
2,UA,0.5,0.5099999904632568,2.791668653488159
2,UA,1.0,0.44999998807907104,2.8698039054870605
2,UA,2.0,0.5399999618530273,3.0021488666534424
2,UA,4.0,0.429999977350235,2.711770534515381
2,UA,8.0,0.5199999809265137,2.928926944732666
2,UN,0.0,0.6699999570846558,4.28880500793457
2,UN,0.1,0.44999998807907104,13.09838581085205
2,UN,0.25,0.44999998807907104,13.196616172790527
2,UN,0.5,0.41999998688697815,12.545745849609375
2,UN,1.0,0.44999998807907104,12.688627243041992
2,UN,2.0,0.3999999761581421,13.329660415649414
2,UN,4.0,0.32999998331069946,13.130138397216797
2,UN,8.0,0.47999998927116394,13.120039939880371
2,AU,0.0,0.7899999618530273,3.319915771484375
2,AU,0.1,0.5199999809265137,17.98128318786621
2,AU,0.25,0.429999977350235,17.243404388427734
2,AU,0.5,0.41999998688697815,17.223087310791016
2,AU,1.0,0.38999998569488525,17.11863899230957
2,AU,2.0,0.3700000047683716,17.430429458618164
2,AU,4.0,0.429999977350235,17.42034912109375
2,AU,8.0,0.3999999761581421,17.40239906311035
2,AA,0.0,0.7599999904632568,2.1449615955352783
2,AA,0.1,0.3700000047683716,4.520559787750244
2,AA,0.25,0.38999998569488525,4.471766948699951
2,AA,0.5,0.3999999761581421,4.107742786407471
2,AA,1.0,0.429999977350235,4.770953178405762
2,AA,2.0,0.44999998807907104,4.203314304351807
2,AA,4.0,0.5,4.9210357666015625
2,AA,8.0,0.3799999952316284,4.29752254486084
2,AN,0.0,0.6899999976158142,2.535806894302368
2,AN,0.1,0.38999998569488525,13.341854095458984
2,AN,0.25,0.3199999928474426,13.394166946411133
2,AN,0.5,0.3799999952316284,13.531817436218262
2,AN,1.0,0.3999999761581421,13.168620109558105
2,AN,2.0,0.38999998569488525,13.260615348815918
2,AN,4.0,0.3499999940395355,12.734936714172363
2,AN,8.0,0.4599999785423279,13.519301414489746
3,UU,0.0,0.85999995470047,6.991812705993652
3,UU,0.1,0.41999998688697815,27.912172317504883
3,UU,0.25,0.3999999761581421,27.02908706665039
3,UU,0.5,0.4099999964237213,27.87340545654297
3,UU,1.0,0.4099999964237213,27.22273826599121
3,UU,2.0,0.4699999988079071,26.854467391967773
3,UU,4.0,0.4599999785423279,26.903793334960938
3,UU,8.0,0.4099999964237213,27.23557472229004
3,UA,0.0,0.6299999952316284,2.370558738708496
3,UA,0.1,0.4399999976158142,2.0866827964782715
3,UA,0.25,0.4699999988079071,2.5468225479125977
3,UA,0.5,0.4399999976158142,2.8019750118255615
3,UA,1.0,0.4899999797344208,2.7633824348449707
3,UA,2.0,0.4899999797344208,2.61452579498291
3,UA,4.0,0.3999999761581421,2.2964422702789307
3,UA,8.0,0.4899999797344208,2.6195127964019775
3,UN,0.0,0.6599999666213989,4.042725563049316
3,UN,0.1,0.38999998569488525,13.988872528076172
3,UN,0.25,0.41999998688697815,13.731310844421387
3,UN,0.5,0.4099999964237213,13.498046875
3,UN,1.0,0.3700000047683716,13.331758499145508
3,UN,2.0,0.3499999940395355,13.75649642944336
3,UN,4.0,0.3400000035762787,13.792438507080078
3,UN,8.0,0.4399999976158142,14.653725624084473
3,AU,0.0,0.7599999904632568,3.1114234924316406
3,AU,0.1,0.4399999976158142,17.60889434814453
3,AU,0.25,0.4099999964237213,18.652240753173828
3,AU,0.5,0.4099999964237213,16.960460662841797
3,AU,1.0,0.4099999964237213,18.158374786376953
3,AU,2.0,0.3100000023841858,18.09946632385254
3,AU,4.0,0.3700000047683716,17.87947654724121
3,AU,8.0,0.38999998569488525,17.558788299560547
3,AA,0.0,0.7400000095367432,1.8967446088790894
3,AA,0.1,0.3700000047683716,4.658255577087402
3,AA,0.25,0.5199999809265137,4.7434539794921875
3,AA,0.5,0.3999999761581421,4.302154064178467
3,AA,1.0,0.4399999976158142,4.509817123413086
3,AA,2.0,0.3199999928474426,4.472238540649414
3,AA,4.0,0.4099999964237213,4.7633466720581055
3,AA,8.0,0.3700000047683716,4.529176235198975
3,AN,0.0,0.7299999594688416,2.6677451133728027
3,AN,0.1,0.5099999904632568,14.175724029541016
3,AN,0.25,0.4599999785423279,14.124430656433105
3,AN,0.5,0.41999998688697815,14.41515064239502
3,AN,1.0,0.35999998450279236,14.665410995483398
3,AN,2.0,0.4699999988079071,14.297374725341797
3,AN,4.0,0.38999998569488525,13.86248779296875
3,AN,8.0,0.3999999761581421,14.28225040435791
4,UU,0.0,0.9099999666213989,7.633241176605225
4,UU,0.1,0.41999998688697815,26.030607223510742
4,UU,0.25,0.41999998688697815,26.53873062133789
4,UU,0.5,0.4399999976158142,26.953657150268555
4,UU,1.0,0.429999977350235,26.995121002197266
4,UU,2.0,0.4099999964237213,27.21283721923828
4,UU,4.0,0.5,27.42205810546875
4,UU,8.0,0.47999998927116394,27.444684982299805
4,UA,0.0,0.7199999690055847,2.728572368621826
