Augmentation,Severity,Clean Accuracy,Adversarial Accuracy,Adversarial Robustness
RandomGaussianNoise,0.001,0.9900000095367432,0.23999999463558197,1.0
RandomGaussianNoise,0.01,1.0,0.27000001072883606,0.8999999761581421
RandomGaussianNoise,0.1,0.9900000095367432,0.6899999976158142,0.41999998688697815
RandomGaussianNoise,1.0,0.27000001072883606,0.25999999046325684,0.2199999988079071
RandomGaussianNoise,10.0,0.019999999552965164,0.019999999552965164,0.019999999552965164
RandomGaussianNoise,100.0,0.019999999552965164,0.029999999329447746,0.029999999329447746
RandomGaussianNoise,1000.0,0.019999999552965164,0.009999999776482582,0.009999999776482582
RandomRotation,2.0,0.949999988079071,0.33000001311302185,0.8500000238418579
RandomRotation,4.0,0.9700000286102295,0.49000000953674316,0.7400000095367432
RandomRotation,8.0,0.9800000190734863,0.44999998807907104,0.6200000047683716
RandomRotation,16.0,0.8899999856948853,0.5699999928474426,0.5600000023841858
RandomRotation,32.0,0.7300000190734863,0.6299999952316284,0.3400000035762787
RandomRotation,64.0,0.49000000953674316,0.38999998569488525,0.36000001430511475
RandomRotation,128.0,0.3400000035762787,0.3100000023841858,0.20000000298023224
RandomRotation,180.0,0.28999999165534973,0.23000000417232513,0.17000000178813934
RandomTranslate,0.1,0.9399999976158142,0.33000001311302185,0.75
RandomTranslate,0.25,0.8500000238418579,0.3799999952316284,0.6399999856948853
RandomTranslate,0.5,0.699999988079071,0.27000001072883606,0.3700000047683716
RandomTranslate,0.75,0.6000000238418579,0.25999999046325684,0.3100000023841858
RandomTranslate,1.0,0.36000001430511475,0.1599999964237213,0.25
