Run,Model,Adversarial,Augmentation,Intensity,Metric,Confidence
0,U,False,Noise,0.01,0.9199999570846558,7.4805169105529785
0,U,True,Noise,0.01,1.0,17.671186447143555
0,U,False,Noise,0.1,0.9300000071525574,7.4805169105529785
0,U,True,Noise,0.1,1.0,17.133329391479492
0,U,False,Noise,0.5,0.9199999570846558,7.4805169105529785
0,U,True,Noise,0.5,1.0,14.205328941345215
0,U,False,Noise,1.0,0.9199999570846558,7.4805169105529785
0,U,True,Noise,1.0,1.0,17.436986923217773
0,U,False,Noise,2.0,0.9199999570846558,7.4805169105529785
0,U,True,Noise,2.0,1.0,15.966696739196777
0,U,False,Noise,5.0,0.7299999594688416,7.4805169105529785
0,U,True,Noise,5.0,0.8399999737739563,18.190637588500977
0,U,False,Noise,10.0,0.2199999988079071,7.4805169105529785
0,U,True,Noise,10.0,0.3400000035762787,18.007396697998047
0,U,False,Noise,15.0,0.11999999731779099,7.4805169105529785
0,U,True,Noise,15.0,0.17999999225139618,19.81505012512207
0,U,False,Noise,20.0,0.08999999612569809,7.4805169105529785
0,U,True,Noise,20.0,0.2199999988079071,15.8148775100708
0,U,False,Noise,25.0,0.14999999105930328,7.4805169105529785
0,U,True,Noise,25.0,0.14999999105930328,16.3629093170166
0,U,False,Rotation,5.0,0.9099999666213989,7.4805169105529785
0,U,True,Rotation,5.0,1.0,17.844194412231445
0,U,False,Rotation,10.0,0.9199999570846558,7.4805169105529785
0,U,True,Rotation,10.0,0.9799999594688416,17.848215103149414
0,U,False,Rotation,15.0,0.9199999570846558,7.4805169105529785
0,U,True,Rotation,15.0,0.9899999499320984,17.485942840576172
0,U,False,Rotation,20.0,0.8999999761581421,7.4805169105529785
0,U,True,Rotation,20.0,0.9899999499320984,17.115427017211914
0,U,False,Rotation,35.0,0.8499999642372131,7.4805169105529785
0,U,True,Rotation,35.0,0.9300000071525574,17.721912384033203
0,U,False,Rotation,45.0,0.75,7.4805169105529785
0,U,True,Rotation,45.0,0.8499999642372131,16.677499771118164
0,U,False,Rotation,55.0,0.7599999904632568,7.4805169105529785
0,U,True,Rotation,55.0,0.8199999928474426,15.987553596496582
0,U,False,Rotation,65.0,0.6899999976158142,7.4805169105529785
0,U,True,Rotation,65.0,0.7699999809265137,16.83592414855957
0,U,False,Rotation,75.0,0.6299999952316284,7.4805169105529785
0,U,True,Rotation,75.0,0.75,17.540077209472656
0,U,False,Rotation,90.0,0.5999999642372131,7.4805169105529785
0,U,True,Rotation,90.0,0.7899999618530273,15.901223182678223
0,U,False,Translation,0.01,0.9199999570846558,7.4805169105529785
0,U,True,Translation,0.01,1.0,16.16273307800293
