,Model,Attack Intensity,Accuracy,Confidence
0,UU,0.0,"tensor(0.9375, device='cuda:0')","tensor([ 9.2165,  6.8455,  3.9481, 12.1721,  7.4509,  7.6650, 10.5689, 12.6213,
         9.2295,  4.8755,  9.2799, 10.3452,  8.5774, 10.7375, 10.2218,  3.5768,
         9.1911,  7.5331,  9.3897,  8.9472,  8.9996,  8.0911,  0.7232,  3.3343,
         6.1183,  7.3191,  0.0368, 12.0100,  6.6977, 10.2197, 10.2837,  4.3448],
       device='cuda:0')"
1,UU,0.1,"tensor(0.4688, device='cuda:0')","tensor([ 4.1260,  8.7908,  9.4963,  1.1734,  2.1649,  6.7372,  6.2859,  4.8775,
         7.0319,  9.0784,  0.8583,  7.7287,  2.6446, 11.0478,  6.2768,  8.4142,
         8.6134,  5.7019,  0.3234,  9.2548,  7.1540,  4.9205,  0.5354, 11.3749,
         4.3671,  3.6888,  8.4357,  3.1566,  0.1376,  2.3675,  2.7550,  6.4317],
       device='cuda:0')"
2,UU,0.25,"tensor(0.0312, device='cuda:0')","tensor([ 9.2841,  6.0628, 12.7545,  4.5276,  1.6891, 12.0857, 10.5497, 12.5760,
        10.1890,  7.5263, 11.3265,  7.5850,  9.0575, 15.7032, 13.4109,  2.5200,
        12.6772, 11.2078,  6.4191,  0.7007, 12.9239,  7.1579, 12.6300,  3.7128,
        12.3469, 12.3112, 10.6109,  0.2325, 13.0345,  5.8393, 10.1926, 10.5987],
       device='cuda:0')"
3,UU,0.5,"tensor(0.0312, device='cuda:0')","tensor([11.2552,  1.4389, 25.5341, 21.8300, 21.7359, 10.0668, 18.0914, 11.6233,
         8.0425, 15.7950, 16.0205, 19.9214, 12.8978, 17.0064, 17.9937, 23.5475,
        15.4754, 11.7982, 14.1442, 19.3457, 18.8586, 17.8195, 15.9526, 12.5005,
        15.5263, 12.5307, 15.1865, 12.4369, 12.0725, 16.9385, 15.9243, 15.6850],
       device='cuda:0')"
4,UU,1.0,"tensor(0., device='cuda:0')","tensor([19.8012, 18.3538, 20.9913, 23.4140, 21.8830, 12.1385, 16.9901, 18.3003,
        13.5598, 20.4834, 16.8222, 18.0094, 19.9624, 24.7025, 26.3034, 24.5622,
        18.3158, 22.4016, 21.3533, 15.8232, 25.4304,  7.5403, 15.5433, 14.3040,
        18.7268, 21.3121, 21.8446, 23.1235, 21.7986, 17.6490, 21.6315, 15.0237],
       device='cuda:0')"
5,UU,2.0,"tensor(0., device='cuda:0')","tensor([24.3949, 24.6823, 15.4741, 11.9937, 23.5846, 23.8287, 18.3139, 25.4720,
        18.0698, 23.8061, 23.0042, 19.2245, 21.5577, 21.0744, 22.9623, 24.2618,
        19.3451,  7.4410,  9.8918, 23.8766, 23.0475, 17.5516, 22.0519, 15.7790,
        17.9224, 25.6391, 21.1392, 15.7119, 23.8845, 17.5269, 16.4353, 19.1096],
       device='cuda:0')"
6,UU,4.0,"tensor(0., device='cuda:0')","tensor([23.6533, 18.7799, 19.5302, 17.4393, 18.7472, 19.6187, 12.6232, 23.1914,
        10.2929, 24.1990, 15.5563, 21.1975, 19.9629, 26.0953,  6.7518, 20.2834,
        24.8428, 18.9794, 17.5123, 21.5471, 22.3586, 11.7326, 20.6436, 19.0597,
        24.4022, 19.4200, 19.1396, 19.8487, 20.4886, 20.8694, 20.4722, 25.4492],
       device='cuda:0')"
7,UU,8.0,"tensor(0., device='cuda:0')","tensor([20.8211, 23.7134, 19.6188, 10.9878, 24.3957, 18.8515, 17.6741, 24.6549,
        17.9005, 16.6324, 22.4668, 23.9898, 18.3862, 22.3618, 14.5711, 20.7582,
        19.5420, 21.6183, 20.8576, 20.9553, 16.9903, 25.7425, 21.0274, 18.5970,
        19.2461, 18.4586, 20.3518, 20.6538, 22.1092, 17.5454, 26.5944, 17.1480],
       device='cuda:0')"
8,UA,0.0,"tensor(0.5938, device='cuda:0')","tensor([ 8.3455,  3.4306,  2.9040,  2.6000,  2.6585,  2.1713,  0.1452,  2.2128,
         0.1628,  0.4690,  0.5524,  4.3324,  1.9885,  0.6838,  5.9575,  0.6696,
         1.2518,  4.7542,  4.0599,  2.2380,  0.1714, 10.4840,  1.3114,  2.8726,
         1.4244,  1.7503,  2.6481,  5.7933,  5.6655,  3.9549,  0.0946,  0.4796],
       device='cuda:0')"
9,UA,0.1,"tensor(0.5625, device='cuda:0')","tensor([0.7949, 0.1439, 3.2650, 5.4822, 0.1291, 1.4267, 1.1873, 0.7096, 1.4526,
        3.8125, 2.0217, 0.4636, 0.2570, 8.4217, 0.0957, 3.6761, 1.4235, 3.3940,
        0.8847, 1.0036, 4.1238, 0.5313, 0.0547, 0.7280, 3.7166, 5.1184, 2.0165,
        1.6655, 6.9250, 7.0242, 0.8420, 2.3914], device='cuda:0')"
